metric,A_mean,A_CI_low,A_CI_high,A_n,B_mean,B_CI_low,B_CI_high,B_n,t,p,Cohens_d (A-B)
ΔKSS,-0.08698412698412715,-0.6084770131884938,0.43450875922023946,15,-0.4597069597069595,-0.908907024227412,-0.010506895186506993,13,1.1691964150403111,0.25301146542085184,0.43548476180276613
ΔSleep(h),16.828571428571433,1.221490341299388,32.43565251584348,15,-37.1142857142857,-170.55272699014014,96.32415556156874,13,0.8746389293362535,0.39847509085382005,0.35621263000935516
